architecture_fingerprint,tp_size,backend,attention_weight_dtype,kv_dtype,compress_state_dtype,ratio,batch_size,q_len,past_len,latency_us
dc8a15770f7f8647,8,dsv4,fp8,fp8_e4m3,fp32,128,1,4096,0,3988.013406
dc8a15770f7f8647,8,dsv4,fp8,fp8_e4m3,fp32,4,1,4096,0,7267.319441
