dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,fp8,16,16384,50.528,0.072
bf16,fp8,16,32768,54.848,0.099
bf16,fp8,16,40960,55.328,0.115
bf16,fp8,16,65536,61.184,0.148
bf16,fp8,24,16384,55.008,0.099
bf16,fp8,24,32768,59.616,0.137
bf16,fp8,24,40960,59.840,0.159
bf16,fp8,24,65536,67.328,0.202
bf16,fp8,26,16384,56.128,0.105
bf16,fp8,26,32768,60.512,0.146
bf16,fp8,26,40960,59.616,0.173
bf16,fp8,26,65536,65.344,0.226
bf16,fp8,32,16384,54.848,0.132
bf16,fp8,32,32768,65.984,0.165
bf16,fp8,32,40960,65.984,0.192
bf16,fp8,32,65536,76.448,0.237
